Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
827,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",,"=""0553380966""","=""9780553380965""",0,4.16,Spectra,Paperback,499,2000,1995,,2025/04/28,to-read,to-read (#357),to-read,,,,0,0
60531420,The Sunlit Man,Brandon Sanderson,"Sanderson, Brandon","Ernanda Souza, Nabetse Zitro, Kudriaken","=""1938570391""","=""9781938570391""",0,4.29,Dragonsteel Entertainment,Hardcover,447,2023,2023,,2025/04/28,to-read,to-read (#356),to-read,,,,0,0
1268479,Warbreaker,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.30,Self-published,ebook,688,2009,2009,,2025/04/28,to-read,to-read (#355),to-read,,,,0,0
10803121,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765330423""","=""9780765330420""",0,4.20,Tor Books,Hardcover,325,2011,2011,,2025/04/28,to-read,to-read (#354),to-read,,,,0,0
195443798,Alien Clay,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1035013770""","=""9781035013777""",0,4.03,Tor,Kindle Edition,396,2024,2024,,2025/04/27,to-read,to-read (#353),to-read,,,,0,0
203608754,"Wind and Truth (The Stormlight Archive, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""125031917X""","=""9781250319173""",4,4.41,Tor Books,Kindle Edition,1330,2024,2024,2025/04/26,2025/04/26,,,read,,,,1,0
17250966,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.60,Tor Books,Kindle Edition,1231,2020,2020,2025/03/17,2025/01/01,,,read,,,,1,0
31830679,The Shepherd's Life: A Tale of the Lake District,James Rebanks,"Rebanks, James",,"=""""","=""""",0,4.14,Generic,Unknown Binding,,,2015,,2018/12/29,to-read,to-read (#241),to-read,,,,0,0
54511226,"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""193857026X""","=""""",4,4.37,Dragonsteel Entertainment,Kindle Edition,171,2020,2020,2025/01/01,2024/12/11,,,read,,,,1,0
33583900,Living Life Backward: How Ecclesiastes Teaches Us to Live in Light of the End,David      Gibson,"Gibson, David",,"=""1433556278""","=""9781433556272""",0,4.55,Crossway,Paperback,176,2017,2017,,2024/12/17,to-read,to-read (#352),to-read,,,,0,0
17331360,The Art of Communicating,Thich Nhat Hanh,"Hanh, Thich Nhat",,"=""0062224689""","=""9780062224682""",0,4.11,HarperOne,ebook,176,2013,2013,,2024/12/13,to-read,to-read (#351),to-read,,,,0,0
208033237,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.61,Tor Books,Kindle Edition,1242,,2017,,2024/07/26,,,read,,,,1,0
27264846,"The Gift of Being Yourself: The Sacred Call to Self-Discovery (The Spiritual Journey, #2)",David G. Benner,"Benner, David G.",M. Basil Pennington,"=""0830899456""","=""9780830899456""",0,4.31,IVP Formatio,Kindle Edition,129,2015,2004,,2024/09/30,currently-reading,currently-reading (#6),currently-reading,,,,1,0
